num,fundCode,fundName,fundLink,trendLink,baLink,netValue,netDate,m1,m3,m6,y1,y2,y3,thisyear,setup,discount,ratefee,buy,buyLink,dtLink
167,660014,农银汇理深证100指,https://jingzhifunds.hexun.com/660014.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=660014,"https://jijinba.hexun.com/660014,jijinba.html",1.3729,08-25,1.40%,8.68%,8.44%,6.79%,14.39%,29.85%,12.18%,47.04%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=660014&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=660014&knownChannel=hexun_jjjz_dinggou
168,006359,前海联合泳盛纯债C,https://jingzhifunds.hexun.com/006359.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006359,"https://jijinba.hexun.com/006359,jijinba.html",1.2778,12-17,8.35%,8.61%,9.27%,10.34%,13.98%,--,10.04%,27.78%,--,--,0,,
169,005717,兴业机遇债券,https://jingzhifunds.hexun.com/005717.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005717,"https://jijinba.hexun.com/005717,jijinba.html",1.3855,01-26,0.20%,8.60%,15.01%,18.95%,29.70%,45.31%,-1.29%,47.69%,--,--,0,,
170,501011,汇添富中证中药指数A,https://jingzhifunds.hexun.com/501011.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=501011,"https://jijinba.hexun.com/501011,jijinba.html",1.1342,01-27,-10.90%,8.51%,5.51%,18.93%,38.27%,55.31%,-13.97%,13.19%,6折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=501011&knownChannel=hexun_jjjz_goumai,
171,002873,华夏新锦福混合A,https://jingzhifunds.hexun.com/002873.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002873,"https://jijinba.hexun.com/002873,jijinba.html",1.3513,08-18,-0.16%,8.45%,35.99%,35.12%,--,--,36.56%,35.12%,--,--,0,,
172,002085,长盛互联网+主题混合,https://jingzhifunds.hexun.com/002085.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002085,"https://jijinba.hexun.com/002085,jijinba.html",1.6420,01-26,-4.20%,8.45%,14.66%,7.04%,51.06%,69.28%,-7.23%,64.20%,--,--,0,,
173,006199,长盛同锦研究精选混合,https://jingzhifunds.hexun.com/006199.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006199,"https://jijinba.hexun.com/006199,jijinba.html",1.6773,01-26,-4.39%,8.40%,14.87%,8.90%,54.26%,--,-7.42%,67.73%,--,--,0,,
174,501012,汇添富中证中药指数C,https://jingzhifunds.hexun.com/501012.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=501012,"https://jijinba.hexun.com/501012,jijinba.html",1.1171,01-27,-10.92%,8.39%,5.30%,18.45%,37.15%,53.66%,-14.00%,11.49%,--,--,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=501012&knownChannel=hexun_jjjz_goumai,
175,000663,国投瑞银美丽中国,https://jingzhifunds.hexun.com/000663.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=000663,"https://jijinba.hexun.com/000663,jijinba.html",1.8140,01-26,-4.64%,8.37%,8.47%,4.33%,75.88%,198.86%,-6.24%,373.31%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=000663&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=000663&knownChannel=hexun_jjjz_dinggou
176,003702,平安大华沪港深精选,https://jingzhifunds.hexun.com/003702.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003702,"https://jijinba.hexun.com/003702,jijinba.html",0.9802,07-01,2.10%,8.35%,-3.09%,0.65%,-1.32%,-5.02%,-3.09%,-1.98%,--,--,0,,
177,001782,九泰久益混合A,https://jingzhifunds.hexun.com/001782.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001782,"https://jijinba.hexun.com/001782,jijinba.html",2.5280,01-26,2.97%,8.27%,30.65%,39.82%,88.38%,140.76%,-0.08%,185.85%,--,--,0,,
178,161225,国投瑞银瑞盈灵活,https://jingzhifunds.hexun.com/161225.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161225,"https://jijinba.hexun.com/161225,jijinba.html",2.7200,01-26,-5.16%,8.24%,8.84%,12.16%,73.80%,188.13%,-6.66%,177.52%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=161225&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=161225&knownChannel=hexun_jjjz_dinggou
179,001844,九泰久益混合C,https://jingzhifunds.hexun.com/001844.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001844,"https://jijinba.hexun.com/001844,jijinba.html",2.4160,01-26,2.94%,8.20%,30.52%,39.49%,87.58%,138.50%,-0.12%,173.28%,--,--,0,,
180,161721,招商沪深300地产指,https://jingzhifunds.hexun.com/161721.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161721,"https://jijinba.hexun.com/161721,jijinba.html",0.7913,01-27,4.63%,8.15%,18.05%,-4.82%,-7.92%,20.63%,3.44%,28.14%,--,--,0,,
181,001656,农银中国优势混合,https://jingzhifunds.hexun.com/001656.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001656,"https://jijinba.hexun.com/001656,jijinba.html",2.4830,01-26,-5.21%,8.15%,18.64%,19.65%,109.96%,194.06%,-8.17%,148.28%,--,--,0,,
182,166024,中欧恒利三年混合,https://jingzhifunds.hexun.com/166024.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=166024,"https://jijinba.hexun.com/166024,jijinba.html",1.0615,01-26,1.06%,8.12%,16.58%,29.31%,44.93%,69.22%,-2.47%,44.02%,--,--,0,,
183,160628,鹏华中证800地产指,https://jingzhifunds.hexun.com/160628.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160628,"https://jijinba.hexun.com/160628,jijinba.html",1.0680,01-26,3.99%,8.10%,14.96%,-0.74%,0.57%,22.93%,2.59%,71.95%,5折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160628&knownChannel=hexun_jjjz_goumai,
184,003197,光大保德信安诚债券A,https://jingzhifunds.hexun.com/003197.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003197,"https://jijinba.hexun.com/003197,jijinba.html",1.2119,01-27,-2.01%,8.08%,9.68%,8.28%,9.51%,16.75%,-1.97%,30.35%,--,--,0,,
185,005505,前海开源丰鑫混合A,https://jingzhifunds.hexun.com/005505.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005505,"https://jijinba.hexun.com/005505,jijinba.html",2.0703,01-26,-6.41%,8.04%,11.12%,23.77%,35.47%,80.70%,-10.04%,107.03%,--,--,0,,
186,005506,前海开源丰鑫混合C,https://jingzhifunds.hexun.com/005506.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005506,"https://jijinba.hexun.com/005506,jijinba.html",2.0563,01-26,-6.43%,7.98%,10.98%,23.46%,34.77%,79.54%,-10.06%,105.63%,--,--,0,,
187,003198,光大保德信安诚债券C,https://jingzhifunds.hexun.com/003198.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003198,"https://jijinba.hexun.com/003198,jijinba.html",1.2145,01-27,-2.03%,7.98%,9.49%,7.97%,8.89%,15.79%,-1.99%,29.81%,--,--,0,,
188,005246,国泰可转债债券,https://jingzhifunds.hexun.com/005246.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005246,"https://jijinba.hexun.com/005246,jijinba.html",1.6274,01-26,-2.51%,7.95%,12.67%,12.97%,39.27%,73.81%,-3.19%,62.74%,--,--,0,,
189,005279,华泰红利低波动指数,https://jingzhifunds.hexun.com/005279.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005279,"https://jijinba.hexun.com/005279,jijinba.html",1.1899,12-15,3.00%,7.91%,23.56%,18.13%,41.75%,18.68%,14.71%,18.98%,--,--,0,,
190,160910,大成创新成长,https://jingzhifunds.hexun.com/160910.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160910,"https://jijinba.hexun.com/160910,jijinba.html",1.0810,01-26,-1.35%,7.87%,13.31%,8.41%,55.48%,97.61%,-3.68%,105.96%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160910&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=160910&knownChannel=hexun_jjjz_dinggou
191,001395,博时新趋势混合C,https://jingzhifunds.hexun.com/001395.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001395,"https://jijinba.hexun.com/001395,jijinba.html",1.1139,10-26,4.16%,7.75%,10.64%,5.90%,11.39%,--,5.20%,11.39%,--,--,0,,
192,005444,光大精选18个月混合,https://jingzhifunds.hexun.com/005444.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005444,"https://jijinba.hexun.com/005444,jijinba.html",1.3636,01-21,-4.29%,7.74%,4.20%,6.97%,29.13%,49.90%,-5.71%,36.36%,--,--,0,,
193,002823,招商盛达混合A,https://jingzhifunds.hexun.com/002823.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002823,"https://jijinba.hexun.com/002823,jijinba.html",1.7700,07-20,0.06%,7.73%,-8.19%,-1.39%,68.09%,79.70%,-0.78%,77.00%,--,--,0,,
194,002405,光大信中高等级债券A,https://jingzhifunds.hexun.com/002405.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002405,"https://jijinba.hexun.com/002405,jijinba.html",1.3363,01-27,-0.24%,7.71%,9.11%,8.92%,24.20%,37.89%,-1.12%,38.41%,--,--,0,,
195,003005,华夏鼎益债券A,https://jingzhifunds.hexun.com/003005.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003005,"https://jijinba.hexun.com/003005,jijinba.html",1.0870,12-28,0.00%,7.65%,7.89%,--,--,--,8.91%,8.91%,--,--,0,,
196,159953,广发中证全指工业指数,https://jingzhifunds.hexun.com/159953.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=159953,"https://jijinba.hexun.com/159953,jijinba.html",0.9723,12-10,-0.04%,7.64%,25.28%,34.97%,45.45%,0.61%,28.56%,-2.77%,--,--,0,,
197,001543,宝盈新锐混合,https://jingzhifunds.hexun.com/001543.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001543,"https://jijinba.hexun.com/001543,jijinba.html",3.5060,01-26,-3.23%,7.61%,-2.64%,7.55%,98.64%,209.17%,-9.19%,250.60%,--,--,0,,
198,001892,长盛新兴成长混合,https://jingzhifunds.hexun.com/001892.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001892,"https://jijinba.hexun.com/001892,jijinba.html",1.9940,01-26,-4.68%,7.61%,12.85%,6.29%,71.16%,101.21%,-7.69%,99.40%,4折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=001892&knownChannel=hexun_jjjz_goumai,
199,002406,光大信中高等级债券C,https://jingzhifunds.hexun.com/002406.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002406,"https://jijinba.hexun.com/002406,jijinba.html",1.3128,01-27,-0.27%,7.60%,8.90%,8.48%,23.20%,36.28%,-1.15%,35.97%,--,--,0,,
200,002824,招商盛达混合C,https://jingzhifunds.hexun.com/002824.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002824,"https://jijinba.hexun.com/002824,jijinba.html",1.7260,07-20,0.00%,7.54%,-8.44%,-1.93%,66.44%,77.03%,-1.03%,72.60%,--,--,0,,
